2020-04-15 02:50:17.662471	https://www.encodeproject.org/report/?type=File&file_format=bigBed&assembly=GRCh38&assay_term_name=ChIP-seq&status=released&lab.title=ENCODE+Processing+Pipeline&output_type=replicated+peaks&output_type=optimal+IDR+thresholded+peaks&field=%40id&field=dataset&field=biological_replicates&field=biosample_ontology.term_name&field=target.label&field=cloud_metadata&field=biosample_ontology&limit=all
ID	Dataset	Biological replicates	Biosample name	Target label	Cloud metadata	Biosample ontology
/files/ENCFF145CKY/	/experiments/ENCSR331HPA/	1,2	GM12878	GABPA	{'md5sum_base64': 'KU4lHzdxxDMQXy0jPcCFdQ==', 'url': 'https://encode-public.s3.amazonaws.com/2016/10/31/fe71aed5-634c-4076-accb-f1b33c7ad0f8/ENCFF145CKY.bigBed', 'file_size': 359545}	/biosample-types/cell_line_EFO_0002784/
/files/ENCFF405KVS/	/experiments/ENCSR000EGT/	1,2	K562	IRF1	{'md5sum_base64': '4UetgEthvZJtWG0SY74a7A==', 'url': 'https://encode-public.s3.amazonaws.com/2016/12/16/d9d299eb-a0fc-4db7-83b2-b04635553c05/ENCFF405KVS.bigBed', 'file_size': 474826}	/biosample-types/cell_line_EFO_0002067/
/files/ENCFF483DQZ/	/experiments/ENCSR874HSH/	1,2	OCI-LY1	H2AFZ	{'md5sum_base64': 'F1Au9eRLKW1AoUtGTbaObw==', 'url': 'https://encode-public.s3.amazonaws.com/2016/10/17/323ac653-733a-412a-a10c-f07938c04afd/ENCFF483DQZ.bigBed', 'file_size': 1954184}	/biosample-types/cell_line_EFO_0005907/
/files/ENCFF749YTS/	/experiments/ENCSR739IHN/	1,2	GM12878	TBX21	{'md5sum_base64': 'U1nk0FgMu7PQkXCEMvuxPA==', 'url': 'https://encode-public.s3.amazonaws.com/2016/10/17/977c8ec4-dab3-479a-b84c-ee84143d78d6/ENCFF749YTS.bigBed', 'file_size': 1404973}	/biosample-types/cell_line_EFO_0002784/
/files/ENCFF272FFT/	/experiments/ENCSR086YIH/	1,2	MM.1S	H3K4me2	{'md5sum_base64': 'mwUvruHFGkJpp19Mn3QhMg==', 'url': 'https://encode-public.s3.amazonaws.com/2016/10/05/492211ee-51c0-4686-9db7-9f69542c314e/ENCFF272FFT.bigBed', 'file_size': 4144474}	/biosample-types/cell_line_EFO_0005724/
/files/ENCFF198STH/	/experiments/ENCSR867UKC/	1,2	Karpas-422	H3K36me3	{'md5sum_base64': '/a8nF0CZ0lhFCB+5Dg+xDQ==', 'url': 'https://encode-public.s3.amazonaws.com/2016/10/17/fc9d4bb5-a353-4b55-b29f-042de4a16cc7/ENCFF198STH.bigBed', 'file_size': 5315047}	/biosample-types/cell_line_EFO_0005719/
/files/ENCFF798JJN/	/experiments/ENCSR790EDQ/	1,2	OCI-LY1	H3K4me2	{'md5sum_base64': 'FplteUDTLppf6ugSONq1Cg==', 'url': 'https://encode-public.s3.amazonaws.com/2016/10/17/e2fc8836-84a8-4930-a4d3-3be327355583/ENCFF798JJN.bigBed', 'file_size': 2822542}	/biosample-types/cell_line_EFO_0005907/
/files/ENCFF384YCZ/	/experiments/ENCSR507UDH/	1,2	hepatocyte	H3K27ac	{'md5sum_base64': 'cCQLEpwVLrYoXq7HdA/6xg==', 'url': 'https://encode-public.s3.amazonaws.com/2016/10/17/dbc41627-0fd3-4d55-a2b2-7f021c9e61d5/ENCFF384YCZ.bigBed', 'file_size': 6336020}	/biosample-types/in_vitro_differentiated_cells_CL_0000182/
/files/ENCFF526VEI/	/experiments/ENCSR637RLN/	1,2	hepatocyte	H3K27me3	{'md5sum_base64': 'FvYDAvDBC4zPMRVumFcsEg==', 'url': 'https://encode-public.s3.amazonaws.com/2016/10/17/8953b128-2905-4003-b207-7fd80ba40822/ENCFF526VEI.bigBed', 'file_size': 1881627}	/biosample-types/in_vitro_differentiated_cells_CL_0000182/
/files/ENCFF787VLV/	/experiments/ENCSR994YLZ/	1,2	liver	YY1	{'md5sum_base64': '/prjnAkJv7DJiOFS9wMCHA==', 'url': 'https://encode-public.s3.amazonaws.com/2016/11/02/a35f85d7-c43f-4217-a4ba-858932a2488e/ENCFF787VLV.bigBed', 'file_size': 1035265}	/biosample-types/tissue_UBERON_0002107/
